paper_reference,paper_year,power_watts,time_minutes,temperature_celsius,antenna_type_raw,antenna_category,data_source,length_mm,width_mm,diameter_mm,depth_mm,volume_mm3,aspect_ratio,energy_joules,power_time_product,log_power,log_time,log_energy,sqrt_time,effective_diameter_mm,estimated_volume_mm3,sphericity_index,has_temperature
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,75.0,6.0,,Other,Other,Simulated,23.5,17.0,,,,,27000.0,450.0,4.330733340286331,1.9459101490553132,10.203629181337648,2.449489742783178,17.0,3556.0210844758462,0.723404255319149,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,75.0,8.0,,Other,Other,Simulated,23.5,17.0,,,,,36000.0,600.0,4.330733340286331,2.1972245773362196,10.491301994830229,2.8284271247461903,17.0,3556.0210844758462,0.723404255319149,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,75.0,10.0,,Other,Other,Simulated,23.5,17.0,,,,,45000.0,750.0,4.330733340286331,2.3978952727983707,10.714439990727769,3.1622776601683795,17.0,3556.0210844758462,0.723404255319149,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,100.0,0.33,,Other,Other,Simulated,21.0,9.0,,,,,1980.0,33.0,4.61512051684126,0.2851789422336624,7.591357046698551,0.5744562646538028,9.0,890.6415172927063,0.42857142857142855,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,100.0,0.67,,Other,Other,Simulated,22.5,14.0,,,,,4020.0,67.0,4.61512051684126,0.5128236264286637,8.299285906897275,0.8185352771872451,14.0,2309.070600388498,0.6222222222222222,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,100.0,1.0,,Other,Other,Simulated,23.0,16.0,,,,,6000.0,100.0,4.61512051684126,0.6931471805599453,8.699681400989514,1.0,16.0,3082.9495907227833,0.6956521739130435,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,100.0,1.33,,Other,Other,Simulated,23.5,17.0,,,,,7980.0,133.0,4.61512051684126,0.8458682675776092,8.984818995876008,1.1532562594670797,17.0,3556.0210844758462,0.723404255319149,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,100.0,1.67,,Other,Other,Simulated,24.0,18.0,,,,,10020.0,167.0,4.61512051684126,0.9820784724121582,9.212438170058329,1.2922847983320085,18.0,4071.5040790523717,0.75,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,100.0,2.0,,Other,Other,Simulated,24.5,19.0,,,,,12000.0,200.0,4.61512051684126,1.0986122886681098,9.392745258631441,1.4142135623730951,19.0,4630.969370779154,0.7755102040816326,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,100.0,3.0,,Other,Other,Simulated,24.5,20.0,,,,,18000.0,300.0,4.61512051684126,1.3862943611198906,9.798182590890704,1.7320508075688772,20.0,5131.268000863329,0.8163265306122449,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,100.0,4.0,,Other,Other,Simulated,24.5,20.0,,,,,24000.0,400.0,4.61512051684126,1.6094379124341003,10.085850775128717,2.0,20.0,5131.268000863329,0.8163265306122449,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,100.0,6.0,,Other,Other,Simulated,24.5,20.0,,,,,36000.0,600.0,4.61512051684126,1.9459101490553132,10.491301994830229,2.449489742783178,20.0,5131.268000863329,0.8163265306122449,0
