PAPERS & REFERENCES,INPUT POWER,TIME,OUTPUT TEMPERATURE,ABLATION ZONE PARAMETERS
"Analysis of efficiency of different antennas for microwave ablation using
simulation and experimental methods- 2018

Antenna Type: Dual slot",50W,10 minutes,247°C,"Diameter: 40.1mm
Length: 57.1mm"
"Analysis of efficiency of different antennas for microwave ablation using
simulation and experimental methods- 2018

Antenna Type: Dual slot with sleeve",50W,10 minutes,307°C,"Diameter: 44.4mm
Length: 49.3mm"
Large and round ablation zones with microwave ablation: A preliminary study of an optimal aperiodic tri-slot coaxial antenna with the π-matching network section- 2019,45W,10 minutes,136°C,"Diameter: 51.5mm
Length: 52.7mm"
"Microwave antennas for thermal ablation of benign
adrenal adenomas- 2019",30W,0.5 minute,NA,"Length: 4.01mm
Width: 7mm"
"Microwave antennas for thermal ablation of benign
adrenal adenomas- 2019",30W,1 minute,NA,"Length: 12.60mm
Width: 11.81mm"
"Microwave antennas for thermal ablation of benign
adrenal adenomas- 2019",30W,1.5 minute,NA,"Length: 15.92mm
Width: 14.78mm"
"Microwave antennas for thermal ablation of benign
adrenal adenomas- 2019",40W,0.5 minute,85°C,"Length: 10.99mm
Width: 9.52mm"
"Microwave antennas for thermal ablation of benign
adrenal adenomas- 2019",40W,1 minute,94°C,"Length: 16.72mm
Width: 14.33mm"
"Microwave antennas for thermal ablation of benign
adrenal adenomas- 2019",40W,1.5 minutes,100°C,"Length: 20.04mm
Width: 17.30mm"
An Optimal Sliding Choke Antenna for Hepatic Microwave Ablation(2009)    Antenna type:Sliding Choke antenna          ,100 W,2 minutes,NA,radius=20mm
Finite-Element Analysis and In Vitro Experiments of Placement Configurations Using Triple Antennas in Microwave Hepatic Ablation(2009)  Antenna type:Triple antenna   : FEM MODEL,50 W,1 minute,NA,"width = 35 mm, depth = 41 mm       "
Finite-Element Analysis and In Vitro Experiments of Placement Configurations Using Triple Antennas in Microwave Hepatic Ablation(2009)    Antenna type:Triple antenna   : FEM MODEL MODEL,50 W,1 minute,NA,"width = 29 mm, depth = 31 mm        "
Finite-Element Analysis and In Vitro Experiments of Placement Configurations Using Triple Antennas in Microwave Hepatic Ablation(2009) Antenna type:Triple antenna   : FEM MODEL,50 W,1 minute,NA,"width = 46 mm, depth = 81 mm	"
